Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
2050492;1012;0.8448;844.8;750.2;2050-22;62;492;0;337.5246161;50;40;21;13;10;1.25;0.69;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;750.2;434;0.07084;0.07;0.506;0.5;0.69828;0.69;23;3.3;38.4;2050;22;34.10;38.4;;2saeuler;;;
2055542;1012;0.9218;921.8;757.9;2055-22;62;542;0;569.2104239;60;50;21;13;10;1.25;0.75;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;757.9;484;0.08096;0.08;0.6072;0.6;0.759;0.75;23;3.6;41.9;2055;22;34.45;41.9;;2saeuler;;;
2075742;1012;1.21;1210;788.7;2075-22;62;742;0;249.6096258;40;30;21;13;10;1.24;1.01;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;788.7;684;0.11132;0.11;0.7084;0.7;1.02212;1.01;22;4.7;55;2075;22;35.85;55.0;;2saeuler;;;
2090892;1012;1.4058;1405.8;809.6;2090-22;62;892;0;874.8014649;60;50;21;13;10;1.23;1.21;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;809.6;834;0.14168;0.14;0.8096;0.8;1.22452;1.21;22;5.5;63.9;2090;22;36.80;63.9;;2saeuler;;;
2100992;1012;1.529;1529;837.1;2100-22;62;992;0;955.1429158;60;50;21;13;10;1.22;1.34;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;837.1;934;0.1518;0.15;0.9108;0.9;1.35608;1.34;22;6;69.5;2100;22;38.05;69.5;;2saeuler;;;
21101092;1012;1.6434;1643.4;900.9;2110-22;62;1092;0;676.1533123;50;40;21;13;10;1.21;1.47;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;900.9;1034;0.17204;0.17;1.012;1;1.48764;1.47;22;6.4;74.7;2110;22;40.95;74.7;;2saeuler;;;
21201192;1012;1.8194;1819.4;958.1;2120-22;62;1192;0;1102.020763;60;50;21;13;10;1.3;1.6;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;958.1;1134;0.18216;0.18;1.1132;1.1;1.6192;1.6;22;7.1;82.7;2120;22;43.55;82.7;;2saeuler;;;
21501492;1012;2.288;2288;1229.8;2150-22;62;1492;0;887.6815969;50;40;21;13;10;1.29;2;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;1229.8;1434;0.23276;0.23;1.3156;1.3;2.024;2;23;8.9;104;2150;22;55.90;104.0;;2saeuler;;;
21801792;1012;2.728;2728;1454.2;2180-22;62;1792;0;528.0538659;40;30;21;13;10;1.29;2.39;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;;;1454.2;1734;0.28336;0.28;1.518;1.5;2.41868;2.39;23;10.7;124;2180;22;66.10;124.0;;2saeuler;;;
22001992;1012;3.036;3036;1621.4;2200-22;62;1992;0;1853.161101;60;50;21;13;10;1.28;2.65;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_RAL9016;4;;;1621.4;1934;0.31372;0.31;1.7204;1.7;2.6818;2.65;23;11.9;138;2200;22;73.70;138.0;;2saeuler;;;
3045450;690;0.702;702;516.75;3045-15;100;450;0;139.3887784;40;30;21;13;10;1.27;0.93;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_0_RAL9016;4;;;516.75;384;0.069;0.1;0.483;0.7;0.6417;0.93;19;4;46.8;3045;15;34.45;46.8;;3saeuler;;;
3050500;690;0.774;774;522;3050-15;100;500;0;474.2717753;60;50;21;13;10;1.27;1.03;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;522;434;0.0759;0.11;0.552;0.8;0.7107;1.03;18;4.4;51.6;3050;15;34.80;51.6;;3saeuler;;;
3055550;782;0.9571;957.1;609.45;3055-17;100;550;0;376.8197765;50;40;21;13;10;1.27;1.13;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;609.45;484;0.09384;0.12;0.7038;0.9;0.88366;1.13;18;4.8;56.3;3055;17;35.85;56.3;;3saeuler;;;
3060600;782;1.0353;1035.3;625.6;3060-17;100;600;0;634.384456;60;50;21;13;10;1.27;1.23;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;625.6;534;0.10948;0.14;0.7038;0.9;0.96186;1.23;18;5.2;60.9;3060;17;36.80;60.9;;3saeuler;;;
3075750;782;1.2631;1263.1;672.35;3075-17;100;750;0;500.9584358;50;40;21;13;10;1.26;1.52;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;672.35;684;0.13294;0.17;0.8602;1.1;1.18864;1.52;18;6.4;74.3;3075;17;39.55;74.3;;3saeuler;;;
