Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
NH35354;1600;0.626;626.00;435;NH35;45;354;0;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;435;314.00;1.39;0.87;3.54;2.21;16.22;10.14;35.00;34.00;391.00;;;;;;NH;;;
NHH28283;1200;0.626;626.00;631;NHH28;53;283;0;388.0479424;60;50;21;13;4.6;1.24;15.01;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_0_Sonderfarbe;4;8.55;34.2;665.2;243.00;1.57;1.31;4.25;3.54;18.01;15.01;22.00;45.00;522.00;;;;;;NHH;;;
NHH35354;1000;0.626;626.00;684;NHH35;53;354;0;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;684;314.00;1.63;1.63;4.42;4.42;18.65;18.65;22.00;54.00;626.00;;;;;;NHH;;;
NHLLH56/35567;400;0.626;626.00;1050;NHLLH56/35;92;567;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11237;1200;0.626;626.00;549.76;THN11;60;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL42/07425;1100;0.627;627.00;578;NHL42/07;60;425;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N72028-40280;685;0.627;627.00;905.97;N72028-40;166;280;0;;;;;;;;;Prolux;;;17;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/07638;800;0.628;628.00;645;NHL63/07;60;638;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL56/21567;400;0.628;628.00;1119;NHLLHL56/21;128;567;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHH77780;500;0.629;629.00;1047;NHH77;53;780;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/49638;600;0.629;629.00;616;NHL63/49;60;638;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
1W82823;600;0.629;629.00;592.54;1W82;50;823;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV212140;1200;;629.00;503;ZRV212;73;140;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH42/28425;700;0.63;630.00;891;NHLH42/28;53;425;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN23237;600;0.63;630.00;951.39;THN23;137;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL49/28496;800;0.631;631.00;577;NHL49/28;60;496;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH49/42496;600;0.631;631.00;945;NHLH49/42;53;496;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
